activity_year,derived_msa-md,state_code,county_code,census_tract,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,loan_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution
2024,14460,TX,1130.0,11307310200.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,31,485000.0,85.0,7.125,2.75,2,9875.5,4875.5,3500.0,2500.0,,360,0,0,2,2,2,2,570000.0,1,1,3,5,1,1,145000.0,38.0,1,1,1,1,1,1,5,5,1,1,1,1,1,1,45-54,35-44,No,No,,1
2024,16980,CA,6075.0,6075019801.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,31,625000.0,96.5,6.875,,1,18500.0,8500.0,7500.0,3500.0,,360,0,0,2,2,2,2,648000.0,1,1,3,5,1,1,168000.0,42.0,1,1,2,2,1,1,2,2,1,1,1,1,1,1,35-44,35-44,No,No,,1
2024,19740,WA,53033.0,53033022301.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,31,425000.0,100.0,6.25,,1,12000.0,4500.0,5500.0,1500.0,,360,0,0,2,2,2,2,425000.0,1,1,3,5,1,1,115000.0,28.0,1,10,2,5,1,4,5,8,1,4,2,4,1,4,25-34,25-34,No,No,,1
2024,12060,GA,13089.0,13089006302.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,3,32,75000.0,,7.75,,3,,,,,,240,0,0,2,2,2,2,,1,1,3,5,1,1,85000.0,48.0,1,10,2,5,1,4,3,8,1,4,1,4,1,4,35-44,9999,No,,,1
2024,38060,ND,38017.0,38017010500.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,31,315000.0,80.0,7.0,2.5,2,8250.0,3250.0,3000.0,1000.0,,360,0,0,2,2,2,2,394000.0,1,1,3,5,1,1,95000.0,31.0,3,10,3,5,3,4,6,8,3,4,3,4,3,4,45-54,9999,Yes,,,1
2024,24330,IL,17031.0,17031070200.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,1,31,275000.0,96.5,7.375,,1,11250.0,5500.0,5000.0,2000.0,,360,0,0,2,2,2,2,285000.0,1,1,3,5,1,1,78000.0,46.0,1,1,1,1,1,1,5,5,1,1,2,1,1,1,25-34,25-34,No,No,,1
2024,35620,NY,36001.0,36001004700.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,31,850000.0,75.0,6.625,2.0,2,18500.0,8500.0,7500.0,3500.0,,360,0,0,2,2,2,2,1135000.0,1,1,3,5,1,1,285000.0,33.0,1,1,2,2,1,1,5,5,1,1,1,1,1,1,45-54,45-54,No,No,,1
2024,12580,FL,12011.0,12011007403.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,31,395000.0,90.0,7.5,2.75,2,10500.0,5000.0,4500.0,2000.0,,360,0,0,2,2,2,2,439000.0,1,1,3,5,1,1,110000.0,41.0,1,1,2,2,1,1,3,3,1,1,2,1,1,1,35-44,35-44,No,No,,1
2024,14460,TX,1130.0,11307100200.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,American Indian or Alaska Native,Male,1,31,365000.0,100.0,6.375,,1,9500.0,4000.0,4000.0,1500.0,,360,0,0,2,2,2,2,365000.0,1,1,3,5,1,1,95000.0,29.0,1,10,2,5,1,4,5,8,1,4,1,4,1,4,35-44,9999,No,,,1
2024,19100,OR,41051.0,41051002800.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Male,1,31,525000.0,82.0,7.0,2.25,2,12500.0,6000.0,5500.0,2500.0,,360,0,0,2,2,2,2,640000.0,1,1,3,5,1,1,135000.0,35.0,1,1,2,2,1,1,7,7,1,1,1,1,1,1,45-54,45-54,No,No,,1
2024,26420,KS,20045.0,20045030100.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,1,31,185000.0,85.0,7.75,3.0,2,5750.0,2750.0,2500.0,1000.0,,360,0,0,2,2,2,2,218000.0,1,1,3,5,1,1,58000.0,44.0,1,1,1,1,1,1,5,5,1,1,2,1,1,1,25-34,25-34,No,No,,1
2024,31080,CA,6077.0,6077021201.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,3,32,125000.0,,8.0,,3,,,,,,180,0,0,2,2,2,2,,1,1,3,5,1,1,75000.0,52.0,1,10,2,5,1,4,2,8,1,4,1,4,1,4,35-44,9999,No,,,1
2024,12060,GA,13135.0,13135001700.0,USDA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,31,195000.0,100.0,6.75,,1,7500.0,3500.0,3000.0,1500.0,,360,0,0,2,2,2,2,195000.0,1,1,3,5,1,1,65000.0,26.0,1,10,2,5,1,4,5,8,1,4,1,4,1,4,25-34,9999,No,,,1
2024,38060,ND,38009.0,38009010200.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,31,285000.0,78.0,7.125,2.75,2,7750.0,3750.0,3250.0,1250.0,,360,0,0,2,2,2,2,365000.0,1,1,3,5,1,1,88000.0,30.0,3,10,3,5,3,4,6,8,3,4,3,4,3,4,45-54,9999,Yes,,,1
2024,14460,TX,1148.0,11480430100.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black or African American,Female,1,31,315000.0,88.0,7.625,3.0,2,9250.0,4500.0,4000.0,1750.0,,360,0,0,2,2,2,2,358000.0,1,1,3,5,1,1,92000.0,47.0,1,1,1,1,1,1,3,3,1,1,2,1,1,1,35-44,35-44,No,No,,1
2024,16980,CA,6073.0,6073040801.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,31,725000.0,96.5,7.125,,1,19500.0,9000.0,8500.0,4000.0,,360,0,0,2,2,2,2,751000.0,1,1,3,5,1,1,195000.0,43.0,1,1,2,2,1,1,5,5,1,1,1,1,1,1,45-54,45-54,No,No,,1
2024,19740,WA,53061.0,53061042500.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,1,31,485000.0,76.0,6.75,2.0,2,11250.0,5250.0,4750.0,2250.0,,360,0,0,2,2,2,2,638000.0,1,1,3,5,1,1,155000.0,32.0,1,1,2,2,1,1,2,2,1,1,2,1,1,1,35-44,35-44,No,No,,1
2024,24330,IL,17043.0,17043080100.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,31,235000.0,92.0,7.875,3.25,2,6750.0,3250.0,3000.0,1250.0,,360,0,0,2,2,2,2,255000.0,1,1,3,5,1,1,68000.0,49.0,1,1,1,1,1,1,5,5,1,1,1,1,1,1,25-34,25-34,No,No,,1
2024,35620,NY,36005.0,36005009300.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,3,32,95000.0,,8.25,,3,,,,,,150,0,0,2,2,2,2,,1,1,3,5,1,1,65000.0,55.0,1,10,2,5,1,4,5,8,1,4,2,4,1,4,45-54,9999,No,,,1
2024,12580,FL,12021.0,12021000804.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,1,31,425000.0,87.0,7.375,2.5,2,11500.0,5500.0,5000.0,2250.0,,360,0,0,2,2,2,2,489000.0,1,1,3,5,1,1,125000.0,39.0,1,1,2,2,1,1,3,3,1,1,1,1,1,1,35-44,35-44,No,No,,1
2024,14460,TX,1148.0,11480410200.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,31,395000.0,100.0,6.5,,1,10250.0,4500.0,4250.0,1750.0,,360,0,0,2,2,2,2,395000.0,1,1,3,5,1,1,105000.0,27.0,1,10,2,5,1,4,5,8,1,4,1,4,1,4,35-44,9999,No,,,1
2024,19100,OR,41067.0,41067001500.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Female,1,31,485000.0,79.0,7.0,2.25,2,12250.0,5750.0,5250.0,2500.0,,360,0,0,2,2,2,2,615000.0,1,1,3,5,1,1,145000.0,34.0,1,1,2,2,1,1,7,7,1,1,2,1,1,1,45-54,45-54,No,No,,1
2024,26420,KS,20015.0,20015030400.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,1,31,165000.0,88.0,7.875,3.25,2,5250.0,2500.0,2250.0,1000.0,,360,0,0,2,2,2,2,187000.0,1,1,3,5,1,1,52000.0,48.0,1,1,1,1,1,1,5,5,1,1,2,1,1,1,25-34,25-34,No,No,,1
2024,31080,CA,6071.0,6071010200.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,3,32,155000.0,,8.125,,3,,,,,,180,0,0,2,2,2,2,,1,1,3,5,1,1,85000.0,53.0,1,10,2,5,1,4,2,8,1,4,2,4,1,4,35-44,9999,No,,,1
2024,12060,GA,13057.0,13057004100.0,USDA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,31,175000.0,100.0,6.875,,1,6750.0,3000.0,2750.0,1250.0,,360,0,0,2,2,2,2,175000.0,1,1,3,5,1,1,58000.0,25.0,1,10,2,5,1,4,5,8,1,4,2,4,1,4,25-34,9999,No,,,1
2024,38060,ND,38015.0,38015020100.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,31,265000.0,82.0,7.25,2.5,2,8250.0,4000.0,3500.0,1500.0,,360,0,0,2,2,2,2,323000.0,1,1,3,5,1,1,82000.0,31.0,3,10,3,5,3,4,6,8,3,4,3,4,3,4,45-54,9999,Yes,,,1
2024,14460,TX,1148.0,11480420500.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,31,345000.0,91.0,7.75,3.0,2,9250.0,4500.0,4000.0,1750.0,,360,0,0,2,2,2,2,379000.0,1,1,3,5,1,1,88000.0,46.0,1,1,1,1,1,1,5,5,1,1,1,1,1,1,35-44,35-44,No,No,,1
2024,16980,CA,6075.0,6075040702.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,31,685000.0,96.5,7.25,,1,20500.0,9500.0,9000.0,4250.0,,360,0,0,2,2,2,2,710000.0,1,1,3,5,1,1,185000.0,44.0,1,1,2,2,1,1,2,2,1,1,1,1,1,1,45-54,45-54,No,No,,1
2024,19740,WA,53033.0,53033041500.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,31,465000.0,74.0,6.625,1.75,2,10750.0,5000.0,4500.0,2000.0,,360,0,0,2,2,2,2,628000.0,1,1,3,5,1,1,165000.0,31.0,1,1,2,2,1,1,5,5,1,1,2,1,1,1,35-44,35-44,No,No,,1
2024,24330,IL,17089.0,17089050300.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black or African American,Female,1,31,215000.0,93.0,8.0,3.5,2,6750.0,3250.0,3000.0,1250.0,,360,0,0,2,2,2,2,231000.0,1,1,3,5,1,1,62000.0,50.0,1,1,1,1,1,1,3,3,1,1,2,1,1,1,25-34,25-34,No,No,,1
2024,35620,NY,36003.0,36003010200.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,32,85000.0,,8.375,,3,,,,,,120,0,0,2,2,2,2,,1,1,3,5,1,1,55000.0,58.0,1,10,2,5,1,4,5,8,1,4,1,4,1,4,45-54,9999,No,,,1
2024,12580,FL,12071.0,12071020302.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,31,395000.0,89.0,7.5,2.75,2,10500.0,5000.0,4500.0,2000.0,,360,0,0,2,2,2,2,444000.0,1,1,3,5,1,1,115000.0,42.0,1,1,2,2,1,1,3,3,1,1,2,1,1,1,35-44,35-44,No,No,,1
2024,14460,TX,1148.0,11480410800.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,31,375000.0,100.0,6.75,,1,9750.0,4250.0,4000.0,1750.0,,360,0,0,2,2,2,2,375000.0,1,1,3,5,1,1,98000.0,26.0,1,10,2,5,1,4,5,8,1,4,1,4,1,4,35-44,9999,No,,,1
2024,19100,OR,41051.0,41051011200.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Male,1,31,465000.0,81.0,7.125,2.5,2,11750.0,5500.0,5000.0,2250.0,,360,0,0,2,2,2,2,575000.0,1,1,3,5,1,1,140000.0,36.0,1,1,2,2,1,1,7,7,1,1,1,1,1,1,45-54,45-54,No,No,,1
2024,26420,KS,20091.0,20091020400.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,1,31,155000.0,89.0,8.0,3.5,2,5250.0,2500.0,2250.0,1000.0,,360,0,0,2,2,2,2,174000.0,1,1,3,5,1,1,48000.0,51.0,1,1,1,1,1,1,5,5,1,1,2,1,1,1,25-34,25-34,No,No,,1
2024,31080,CA,6075.0,6075041500.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,3,32,165000.0,,8.25,,3,,,,,,150,0,0,2,2,2,2,,1,1,3,5,1,1,90000.0,54.0,1,10,2,5,1,4,2,8,1,4,1,4,1,4,35-44,9999,No,,,1
2024,12060,GA,13121.0,13121010800.0,USDA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,31,165000.0,100.0,7.0,,1,6500.0,2750.0,2500.0,1000.0,,360,0,0,2,2,2,2,165000.0,1,1,3,5,1,1,55000.0,24.0,1,10,2,5,1,4,5,8,1,4,1,4,1,4,25-34,9999,No,,,1
2024,38060,ND,38011.0,38011009800.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,31,275000.0,84.0,7.375,2.75,2,8750.0,4250.0,3750.0,1750.0,,360,0,0,2,2,2,2,327000.0,1,1,3,5,1,1,85000.0,32.0,3,10,3,5,3,4,6,8,3,4,3,4,3,4,45-54,9999,Yes,,,1
2024,14460,TX,1130.0,11307200500.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,1,31,325000.0,92.0,7.875,3.25,2,9250.0,4500.0,4000.0,1750.0,,360,0,0,2,2,2,2,353000.0,1,1,3,5,1,1,82000.0,47.0,1,1,1,1,1,1,5,5,1,1,2,1,1,1,35-44,35-44,No,No,,1
2024,16980,CA,6071.0,6071020801.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,1,31,665000.0,96.5,7.0,,1,19800.0,9200.0,8750.0,4000.0,,360,0,0,2,2,2,2,689000.0,1,1,3,5,1,1,175000.0,42.0,1,1,2,2,1,1,2,2,1,1,2,1,1,1,45-54,45-54,No,No,,1
2024,19740,WA,53061.0,53061031800.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,31,445000.0,77.0,6.75,2.0,2,10500.0,5000.0,4500.0,2000.0,,360,0,0,2,2,2,2,578000.0,1,1,3,5,1,1,150000.0,33.0,1,1,2,2,1,1,5,5,1,1,1,1,1,1,35-44,35-44,No,No,,1
2024,24330,IL,17031.0,17031060500.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black or African American,Male,1,31,205000.0,94.0,8.125,3.5,2,6750.0,3250.0,3000.0,1250.0,,360,0,0,2,2,2,2,218000.0,1,1,3,5,1,1,58000.0,51.0,1,1,1,1,1,1,3,3,1,1,1,1,1,1,25-34,25-34,No,No,,1
2024,35620,NY,36001.0,36001020500.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,3,32,75000.0,,8.5,,3,,,,,,110,0,0,2,2,2,2,,1,1,3,5,1,1,48000.0,59.0,1,10,2,5,1,4,5,8,1,4,2,4,1,4,45-54,9999,No,,,1
2024,12580,FL,12011.0,12011009200.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,1,31,385000.0,90.0,7.625,2.75,2,10750.0,5250.0,4750.0,2250.0,,360,0,0,2,2,2,2,428000.0,1,1,3,5,1,1,118000.0,40.0,1,1,2,2,1,1,3,3,1,1,1,1,1,1,35-44,35-44,No,No,,1
2024,14460,TX,1148.0,11480430200.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,31,355000.0,100.0,6.875,,1,9250.0,4000.0,3750.0,1500.0,,360,0,0,2,2,2,2,355000.0,1,1,3,5,1,1,92000.0,25.0,1,10,2,5,1,4,5,8,1,4,2,4,1,4,35-44,9999,No,,,1
2024,19100,OR,41067.0,41067002300.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Female,1,31,445000.0,83.0,7.25,2.75,2,11500.0,5500.0,5000.0,2250.0,,360,0,0,2,2,2,2,536000.0,1,1,3,5,1,1,130000.0,37.0,1,1,2,2,1,1,7,7,1,1,2,1,1,1,45-54,45-54,No,No,,1
2024,26420,KS,20045.0,20045010200.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,31,175000.0,90.0,8.125,3.5,2,5750.0,2750.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,14460,TX,141.0,14100080201.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,1,425000.0,85.0,7.125,2.75,2,8500.0,3500.0,3500.0,1500.0,500.0,360,0,0,2,2,2,2,500000.0,1,1,3,5,1,125000.0,38.0,1,1,1,1,1,1,5,5,1,1,1,1,1,1,45-54,35-44,No,No,1,1,
2024,16980,CA,37.0,37019004001.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,1,1,685000.0,96.5,6.875,NA,2,12500.0,4500.0,4500.0,2000.0,0.0,360,0,0,2,2,2,2,710000.0,1,1,3,5,1,155000.0,42.0,1,1,2,2,1,1,2,2,1,1,2,2,1,1,35-44,35-44,No,No,1,1,
2024,19740,IL,31.0,31030017004.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,1,1,315000.0,90.0,6.375,NA,2,6500.0,2500.0,2500.0,1000.0,750.0,360,0,0,2,2,2,2,350000.0,1,1,3,5,1,88000.0,28.0,1,1,2,2,1,1,3,3,1,1,1,1,1,1,25-34,25-34,No,No,1,1,
2024,23580,FL,86.0,86031020502.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,1,1,75000.0,15.0,8.25,4.5,1,3500.0,2000.0,1500.0,500.0,0.0,180,0,6,2,1,2,2,500000.0,1,1,3,5,1,95000.0,31.0,1,3,1,3,1,4,5,3,1,4,2,3,1,4,35-44,45-54,No,No,1,1,
2024,24500,OH,35.0,35090008001.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,1,275000.0,78.0,7.5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,352564.0,1,1,3,5,1,NA,NA,8,8,2,8,2,8,5,8,2,8,1,8,2,8,45-54,9999,No,,3,2,
2024,26420,WA,33.0,33053030501.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,1,525000.0,95.0,6.75,NA,2,9800.0,3800.0,3800.0,1800.0,0.0,360,0,0,2,2,2,2,552631.0,1,1,3,5,1,118000.0,40.0,1,1,2,2,1,1,2,2,1,1,1,1,1,1,35-44,30-39,No,No,1,1,
2024,28140,NC,119.0,11901001001.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,1,1,385000.0,82.0,7.0,2.25,2,7200.0,2800.0,2800.0,1200.0,600.0,360,0,0,2,2,2,2,469512.0,1,1,3,5,1,105000.0,35.0,1,1,1,1,1,1,5,5,1,1,2,2,1,1,45-54,45-54,No,No,1,1,
2024,29820,MI,25.0,25021004500.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,1,195000.0,88.0,7.875,3.25,2,5500.0,2200.0,2200.0,800.0,0.0,360,0,0,2,2,2,2,221590.0,1,1,3,5,1,65000.0,45.0,1,1,2,2,1,1,3,3,1,1,2,2,1,1,55-64,55-64,Yes,Yes,1,1,
2024,31080,AZ,13.0,13013011003.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,1,445000.0,NA,6.25,NA,2,7500.0,3000.0,3000.0,1500.0,1000.0,360,0,0,2,2,2,2,445000.0,1,1,3,5,1,98000.0,33.0,1,1,2,2,1,1,5,5,1,1,1,1,1,1,30-39,30-39,No,No,1,1,
2024,33460,CO,1.0,1035005001.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,1,615000.0,75.0,6.625,1.75,2,10500.0,4200.0,4200.0,2000.0,0.0,360,0,0,2,2,2,2,820000.0,1,1,3,5,1,145000.0,29.0,1,1,2,2,1,1,5,5,1,1,1,1,1,1,35-44,35-44,No,No,1,1,
2024,12060,GA,57.0,57013030101.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black or African American,Male,1,1,350000.0,92.0,7.375,2.5,2,6800.0,2700.0,2700.0,1100.0,500.0,360,0,0,2,2,2,2,380434.0,1,1,3,5,1,85000.0,38.0,1,3,1,3,1,4,3,3,1,4,1,3,1,4,25-34,25-34,No,No,1,1,
2024,14460,TX,141.0,14101032001.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,1,295000.0,96.5,6.875,NA,2,8800.0,3400.0,3400.0,1600.0,0.0,360,0,0,2,2,2,2,305699.0,1,1,3,5,1,72000.0,43.0,1,1,2,2,1,1,5,5,1,1,2,2,1,1,35-44,35-44,No,No,1,1,
2024,16980,CA,37.0,37052025002.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,1,125000.0,20.0,8.0,4.25,1,4200.0,2500.0,1700.0,800.0,0.0,240,0,12,2,1,2,2,625000.0,1,1,3,5,1,135000.0,26.0,1,1,2,2,1,1,2,2,1,1,1,1,1,1,45-54,35-44,No,No,1,1,
2024,19740,IL,43.0,43031800300.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,2,1,425000.0,NA,7.125,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,NA,8,8,2,8,2,8,5,8,2,8,2,8,2,8,35-44,9999,No,,3,2,
2024,23580,FL,53.0,53013052001.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,1,375000.0,NA,6.125,NA,2,6800.0,2600.0,2600.0,1200.0,800.0,360,0,0,2,2,2,2,375000.0,1,1,3,5,1,92000.0,30.0,1,1,2,2,1,1,3,3,1,1,2,2,1,1,30-39,30-39,No,No,1,1,
2024,24500,OH,35.0,35091012001.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,1,235000.0,80.0,7.75,3.0,2,5200.0,2100.0,2100.0,900.0,0.0,360,0,0,2,2,2,2,293750.0,1,1,3,5,1,58000.0,41.0,1,1,1,1,1,1,5,5,1,1,1,1,1,1,45-54,35-44,No,No,1,1,
2024,26420,WA,33.0,33063021001.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,1,1,685000.0,78.0,6.875,2.0,2,11800.0,4800.0,4800.0,2200.0,0.0,360,0,0,2,2,2,2,878205.0,1,1,3,5,1,165000.0,32.0,1,1,2,2,1,1,2,2,1,1,2,2,1,1,35-44,35-44,No,No,1,1,
2024,28140,NC,119.0,11901008001.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,1,1,285000.0,97.0,6.75,NA,2,9200.0,3600.0,3600.0,1700.0,0.0,360,0,0,2,2,2,2,293814.0,1,1,3,5,1,68000.0,44.0,1,1,2,2,1,1,3,3,1,1,1,1,1,1,25-34,25-34,No,No,1,1,
2024,29820,MI,21.0,21005019000.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,1,165000.0,85.0,8.0,3.5,2,4800.0,1900.0,1900.0,700.0,0.0,360,0,0,2,2,2,2,194117.0,1,1,3,5,1,52000.0,48.0,1,1,2,2,1,1,5,5,1,1,2,2,1,1,55-64,55-64,Yes,Yes,1,1,
2024,31080,AZ,13.0,13077012002.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,American Indian or Alaska Native,Male,1,1,95000.0,18.0,8.75,5.0,1,3800.0,2200.0,1600.0,600.0,0.0,180,0,24,2,1,2,2,527777.0,1,1,3,5,1,78000.0,34.0,1,3,1,3,1,4,1,3,1,4,1,3,1,4,35-44,45-54,No,No,1,1,
2024,33460,CO,1.0,1035008001.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,1,725000.0,72.0,6.5,1.5,2,13200.0,5500.0,5500.0,2500.0,0.0,360,0,0,2,2,2,2,1006944.0,1,1,3,5,1,175000.0,27.0,1,1,2,2,1,1,5,5,1,1,1,1,1,1,45-54,45-54,No,No,1,1,
2024,12060,GA,57.0,57019030201.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,1,395000.0,NA,6.0,NA,2,7200.0,2800.0,2800.0,1300.0,900.0,360,0,0,2,2,2,2,395000.0,1,1,3,5,1,105000.0,28.0,1,1,2,2,1,1,5,5,1,1,2,2,1,1,30-39,30-39,No,No,1,1,
2024,14460,TX,141.0,14111012001.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black or African American,Female,1,1,315000.0,87.0,7.25,2.75,2,6500.0,2600.0,2600.0,1000.0,400.0,360,0,0,2,2,2,2,362068.0,1,1,3,5,1,88000.0,36.0,1,1,1,1,1,1,3,3,1,1,2,2,1,1,35-44,35-44,No,No,1,1,
